CS,77,Computer Science
DSCI,33,Data Science
EXPL,15,Exploring
MACS,11,Mathematics and Computer Science
PBA,10,Pre-Business Administration
PSY,8,Psychology
PHYS,5,Physics
BADM,5,Business Administration
MSCI,4,Multidisciplinary Science
MATH,4,Mathematics
PS,3,Political Science
BI,3,Biology
NEUR,2,Neuroscience
LING,2,Linguistics
EC,2,Economics
CIS,2,Computer and Information Science
SDSC,1,Spatial Data Science and Technology
MUS,1,Music
MARB,1,Marine Biology
JPN,1,Japanese
ESCI,1,Environmental Science
ENG,1,English
ATCH,1,Art and Technology
ATCF,1,Art and Technology
ARH,1,Art History
ACTG,1,Accounting
